iter	Logloss
0	0.6139769003
1	0.545231275
2	0.4865123505
3	0.4367734744
4	0.3942356216
5	0.3578567169
6	0.3267763781
7	0.300264693288	0.2772451149	9	0.2577821531010	0.2410950671111	0.2267603361212	0.2144525235
13	0.2038849761414	0.1946016843
15	0.186503116	016	0.179525317	17	0.1734587312
18	0.1680933076
19	0.1633998786
20	0.159447401
21	0.1560042276
22	0.1529071611
23	0.1501622342
24	0.1477745418
25	0.1457282567
26	0.143877685
27	0.1423142417
28	0.140685715
29	0.1394004741
30	0.1382792224
31	0.1371609475
32	0.1361849876
33	0.1353252008
34	0.1345564865
35	0.1339161868
36	0.133294451
37	0.1327634143
38	0.1322933812
39	0.1318694791
40	0.1315227838
41	0.1311821808
42	0.1308437179
43	0.1306022784
44	0.1303854859
45	0.1301357317
46	0.129952273
47	0.1297353451
48	0.1295355261
49	0.1293671443
50	050	0.129123551	0.1290665269
52	0.128918026
53	0.1288025445
54	0.1286862662
55	0.1286062864
56	0.1285254683
57	0.1284313502
58	0.1283552191
59	0.128274679
60	0.1282230002
61	0.1281687884
62	0.1281164408
63	0.163	0.1279964	06464	0.1279465	065	0.128123366	06666	0.1278767	06767	0.1278468	0.168	0.1277969	0.169	0.1277370	0.170	0.1277171	0.171	0.1276772	0.172	0.1276373	0.173	0.1275974	0.1276669837
75	0.175	0.1275476	0.1276047688
77	0.1275803512
78	0.1275521706
79	0.1275278708
80	0.1275071531
81	0.1274872386
82	0.1274609833
83	0.1274410367
84	0.1274255284
85	0.85	0.12728086	0.86	0.12727087	0.87	0.12726288	0.88	0.12723789	0.89	0.12721990	0.90	0.1272091	0.191	0.1271992	0.192	0.1271793	0.93	0.12715694	0.94	0.1271395	0.195	0.1271296	0.196	0.1271097	0.1272198281
98	0.198	0.12799	0.12799	0.127100	0.12100	0.127101	0.1101	0.1270102	0.102	0.12702103	0.103	0.12700104	0.104	0.12699105	0105	0.126986106	0106	0.126976107	0107	0.126966108	0.1270393978
109	0.1270287315
110	0110	0.12692111	0.1269954181
112	0.1269863391
113	0.113	0.12689114	0.114	0.12688115	0.115	0.12686116	0.1269417688
117	0.126928993
118	0.1269200437
119	0.1269138431
120	0.126906956
121	0.1268971274
122	0.1268877154
123	0.1268760025
124	0.1268595578
125	0.1125	0.1267126	0.1126	0.1267127	0.1268367987
128	0.1268317537
129	0.1268174153
130	0.1268014454
131	0.1267901966
132	0.126776
133	0.1267654038
134	0.1267601406
135	0.1267490345
136	0.1267372582
137	0.1267279599
138	0.1267233491
139	0.1267181807
140	0.1267065939
141	0.126699723
142	0.12668597
143	0.1266801074
144	0.126672825
145	0.1266546884
146	0.1266458712
